alignment,ba,bna,category,corpus,dnmalignment,docId,nba,nbna,replierId,speakerId
0.6931471805599454,1,0,i,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,incl,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,ipron,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,negate,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,quant,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,tentat,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.6931471805599454,1,0,we,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.0,0,0,you,SCOTUS,0.0,12-872.xml,1,1,THEOB,BREY
-0.2513144282809061,0,2,certain,SCOTUS,-0.3333333333333333,12-872.xml,1,3,SCODR,GINS
-0.11778303565638354,3,2,conj,SCOTUS,-0.08333333333333337,12-872.xml,1,0,SCODR,GINS
0.8472978603872037,1,1,discrep,SCOTUS,0.6666666666666667,12-872.xml,0,4,SCODR,GINS
-0.4054651081081643,1,2,excl,SCOTUS,-0.16666666666666669,12-872.xml,2,1,SCODR,GINS
0.06899287148695155,4,1,i,SCOTUS,-0.033333333333333326,12-872.xml,1,0,SCODR,GINS
-0.11778303565638354,3,2,incl,SCOTUS,-0.08333333333333337,12-872.xml,1,0,SCODR,GINS
0.28768207245178085,3,1,negate,SCOTUS,0.08333333333333337,12-872.xml,1,1,SCODR,GINS
0.287682072451781,3,2,quant,SCOTUS,0.16666666666666663,12-872.xml,0,1,SCODR,GINS
-0.4054651081081643,1,2,tentat,SCOTUS,-0.16666666666666669,12-872.xml,2,1,SCODR,GINS
1.0986122886681096,1,0,we,SCOTUS,0.33333333333333337,12-872.xml,1,4,SCODR,GINS
0.4054651081081644,0,0,you,SCOTUS,0.0,12-872.xml,2,4,SCODR,GINS
0.0,1,1,conj,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.0,1,1,discrep,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.0,1,1,excl,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.0,1,1,incl,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.0,1,1,negate,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
-0.6931471805599454,0,1,quant,SCOTUS,-0.5,12-872.xml,1,0,THEOB,GINS
0.0,1,1,tentat,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.0,1,1,we,SCOTUS,0.0,12-872.xml,0,0,THEOB,GINS
0.7621400520468968,4,0,article,SCOTUS,0.13333333333333341,12-872.xml,1,1,SCODR,KAGA
0.4054651081081643,2,1,certain,SCOTUS,0.16666666666666663,12-872.xml,1,2,SCODR,KAGA
0.538996500732687,3,0,conj,SCOTUS,0.09999999999999998,12-872.xml,2,1,SCODR,KAGA
0.44183275227903923,1,2,discrep,SCOTUS,0.5,12-872.xml,0,3,SCODR,KAGA
0.0,2,1,excl,SCOTUS,0.0,12-872.xml,2,1,SCODR,KAGA
-0.4054651081081644,2,2,i,SCOTUS,-0.16666666666666663,12-872.xml,2,0,SCODR,KAGA
0.9808292530117262,3,0,incl,SCOTUS,0.25,12-872.xml,1,2,SCODR,KAGA
0.4054651081081643,2,1,negate,SCOTUS,0.16666666666666663,12-872.xml,1,2,SCODR,KAGA
